organization_id,name,location,latitude,longitude,industry_id,description,siret
797,Carrefour,,,,10,"N° 1 de la grande distribution en Europe et n° 2 dans le monde, Carrefour développe aujourd'hui différents formats et canaux : l’hypermarché avec une offre généraliste au meilleur prix, le supermarché, format alimentaire de référence, les magasins de proximité pour le service et la praticité, les magasins de cash&carry pour les professionnels, le drive et le e-commerce pour satisfaire les nouvelles attentes.Présent dans 34 pays avec plus de 10 100 magasins, le groupe emploie 365 000 collaborateurs et accueille chaque jour près de 10 millions de clients dans le monde. 

Pourquoi nous rejoindre ? 

Parce que des collaborateurs heureux font des clients heureux, nous mettons tout en œuvre pour que nos collaborateurs soient bien dans leur métier, dans leur poste et dans leur équipe. Ainsi, nous nous engageons à : 
- Créer de l'emploi local
- Former des professionnels reconnus 
- Offrir une promotion interne, proposer de changer de métier ou de lieu de travail 
- Promouvoir l'égalité, préserver la diversité, moteur de croissance chez Carrefour

Vous voulez grandir avec nous ?

Notre taille, notre implantation mondiale et la diversité de nos métiers créent de nombreuses opportunités ouvertes à tous, car le talent n’est pas une question d’âge, de genre, d’origine ou de diplôme.
Véritable incubateur social, Carrefour encourage donc la promotion interne : exercer plusieurs métiers, faire évoluer sa carrière, accéder à des postes d’encadrement... c’est ça la mobilité chez Carrefour !",
915,MOBISKILL,,,,16,"Mobiskill est une start-up du recrutement créée il y a 7 ans et composée d’une vingtaine de Business developers / headhunters , passionnés par les métiers de la vente et un peu geeks sur les bords.

Aujourd’hui leader sur le marché du web et du mobile, le cabinet jouit d’une belle réputation et d’un portefeuille de clients français et étrangers prestigieux.

Notre ambition est débordante et les projets de développement sont multiples. Nous avons donc besoin de faire grandir notre équipe Sales afin de répondre à des demandes clients toujours plus nombreuses et exigeantes, dans un contexte de plus en plus international tout en conservant l’esprit startup qui nous est cher. ",
1042,HENRI 8,,,,19,"Nous sommes une agence de conseil en communication événementielle et digitale.
Nous conseillons et accompagnons nos clients dans la conception d’événements et la conception de stratégies digitales clés en main (road show, web-émission, animations interactives en Réalité Augmentée et Virtuelle, développement d’applications mobiles, etc.).
Spécialisés dans le domaine de la santé, nous comptons les plus grands acteurs du secteur (MSD, BMS, Johnson & Johnson, Novartis, L’Oréal, etc.) parmi nos principaux clients. Nous travaillons également pour d’autres secteurs luxe, IT, cosmétique, et souhaitons nous développer dans l’agroalimentaire.",
1073,Wisembly,,,,17,"Nous développons des applications en ligne pour les entreprises visant à améliorer la qualité des réunions.

Les anciens modes de managements, les organisations pyramidales, les normes et la politique brident l'innovation dans les entreprises. Pour être capable de s'adapter et d'innover en permanence, les entreprises doivent changer leur mode d'organisation et leur façon de collaborer. La réunion est le symbole de cette inertie, la pierre angulaire du problème de la collaboration en entreprise.

Notre mission: aider nos clients à se transformer, à se réunir différemment, à collaborer autrement en impliquant davantage leurs équipes.",
1105,Groupama Loire Bretagne ,"23 Boulevard Solférino, Rennes, France",48.104458,-1.6690156,6,"Nous sommes une entreprise mutualiste répartie sur un territoire de 6 départements et faisons partie des 9 caisses régionales métropolitaines de Groupama. Groupama Loire Bretagne est la 1ère mutuelle sur son territoire (Bretagne - Loire-Atlantique et Maine-et-Loire). 
Une position d'acteur économique de poids : plus de 2200 collaborateurs travaillant sur l'un des 6 départements ; environ 100 recrutements par an ; une politique d'achat régionale qui contribue à l'activité de plus de 1000 entreprises du territoire. 
> 70% de nos recrutements concernent le réseau commercial : chez Groupama, chacun joue un rôle qui a du sens, et dont il est fier au quotidien. 
Notre ambition ? Agir dans l’intérêt du client avant tout. 
Votre challenge ? Contribuer à la réussite de leur projet, trouver et vendre des solutions qui leur facilitent la vie. Respect, écoute, proximité… si vous aussi, vous voyez votre métier comme ça, laissez parler votre fibre commerciale pour évoluer à nos côtés. En 2018, nous recrutons en CDI 90 Commerciaux en Bretagne, Loire-Atlantique et Maine-et-Loire. 
> Nous recrutons également, au cours de l’année, dans les domaines de l’expertise assurances, de l’expertise en banque & finance, des systèmes d’information…
> Pour la rentrée 2018, 20 contrats de professionnalisation sont prévus afin que les alternants intègrent nos agences en tant que Conseiller Commercial, en partenariat avec des formations diplômantes Bac +3 dans l’Ouest. Nous avons forcément une opportunité près de chez vous ! 

Rejoignez une entreprise responsable et dynamique qui privilégie les relations de confiance avec ses collaborateurs comme avec ses clients. Toutes nos opportunités sur : groupama-gan-recrute.com

",
1189,Groupe Bertrand ,,,,13,"Présent depuis plus de vingt ans sur le marché de la restauration commerciale, le Groupe Bertrand a désormais acquis une dimension nationale qui le place parmi les plus grands groupes de ce secteur.

Filiale du Groupe Bertrand, Bertrand Restauration est une entreprise en pleine croissance qui offre de nombreuses opportunités de carrière. Diversifiée et multimarques, Bertrand Restauration est positionnée sur l’ensemble des segments de la restauration commerciale avec plus de 250 restaurants en France et à l’international.

Bertrand Restauration regroupe 45 enseignes au sein de 6 divisions avec des marques fortes : Angelina, Burger King, Quick, Au Bureau, Bert’s et des brasseries parisiennes incontournables : Au Pied de Cochon, Auteuil Brasserie, La Lorraine, La Gare, La Brasserie Lipp… et bien d’autres choses.",
1278,Pixie Services,,,,20,"Recruitment agency specialised in providing best SAP consultants to our client.

",
1290,Eye Web,,,,7,"EYEWEB est une société en pleine croissance spécialisée dans la
commercialisation de montures de lunettes optique et solaire. 

Depuis 2008 nous proposons à une clientèle de professionnels une large gamme de
produits de grandes marques tel que : GF FERRE, IRON...

Les métiers de la vente de produits haut de gamme vous plaisent alors
rejoignez-nous des maintenant !

L'Equipe EYEWEB",
1293,Indie United SAS,,,,17,"GRAFITEE, boutique de T-shirts et de Sweats originaux, étoffe son offre commerciale. Dans le cadre de notre développement, nous recherchons aujourd'hui un(e) Assistant Responsable Site E-commerce pour nous accompagner sur l’enrichissement de notre catalogue en ligne.",
1305,Fove,,,,19,"« FOVE est une agence de créativité relationnelle au service de la performance business des marques. Nous sommes une meute indépendante, libre et audacieuse, composée de changemakers convaincus que la Relation Client d’aujourd’hui et de demain reste à construire.
Aborder différemment le marketing relationnel et digital, en imposant un nouveau modèle d’agences en phase avec les mutations du marché. C’est le pari de FOVE, et son président, Michel Salinier. »

CBNews (http://www.agencefove.com/document/CBN50_INT_058-059.pdf)",
1326,Effilab,,,,5,"EFFILAB est une agence de publicité à la performance, fondée en 2011 par deux ex-Googlers. Rachetée fin 2015 par le groupe SoLocal, l'agence devient une start-up, avec de très fortes ambitions de développement et bénéficie de l'appui de la première force de vente de France pour les réaliser. ",53120556500058
1524,VISEO,,,,16,"
Le  Groupe Viseo (1200 salariés), spécialiste des systèmes d’informations depuis 20 ans, partenaire des éditeurs leaders de ce marché propose à ses consultants des carrières évolutives et variées basées sur une politique de formation et de parrainage.
Vous souhaitez évoluer avec un acteur spécialisé et développer votre savoir-faire avec des experts du conseil en organisation des entreprises. Rencontrons-nous !
",
1537,MEDIA INSTITUTE,,,,17,"Media Institute est l'organisme de formation de référence pour la formation en alternance dans les métiers des médias et de la publicité. 
80% de nos alternants sont recrutés à l'issue de leur alternance en CDD ou CDI.

Vous ne trouvez pas de CDI et vous souhaitez intégrer un grand groupe, une agence, une régie, une structure où ça bouge ? 
Vous souhaitez intégrer une entreprise rapidement et vous spécialiser dans le domaine de la publicité et des médias ? 
Vous souhaitez intégrer une formation ayant un fort taux d’employabilité ? ",
1583,AGENCE R RECRUTEMENT,,,,19,"Agence R Recrutement est un cabinet de recrutement spécialisé sur les fonctions supports. Nous recrutons pour notre client, univers médical, à Paris.",
1608,IKOULA NET,,,,16,"Ikoula est specialiste de l’hebergement web, des serveurs dedies et du Cloud francais depuis 1998. Proprietaire de ses propres Data Centers en France, son offre Cloud est disponible sur trois continents (en Asie, en Amerique et en Europe). L’innovation, la simplicite et la satisfaction client sont au cœur de ses solutions. Nous accompagnons nos clients dans la conception de leurs plates-formes d’hebergement sur mesure, gérées par nos équipes techniques en 24/7 afin de repondre au mieux a leurs enjeux et besoins d’évolution.",
1611,CCLD Recrutement,"43 Avenue de la Grande Armée, Paris, France",48.8753186,2.2888203,20,"A la recherche de nouvelles affinités professionnelles ? Spring, cabinet de conseil en recrutement spécialisé recrute pour son client, un :
Ingénieur Développeur / Informatique Industrielle / R&D (H/F)
 ",
1640,Agence Baltazare,,,,19,"Baltazare est une agence digitale basée sur Paris.
Nous créons des sites internet, application mobile et proposons des stratégies digitales innovantes à nos clients. 

Nous aimons développer des projets innovants et créatifs, mettre en place des plans de communication et entretenir une relation forte avec nos clients.

C’est ainsi que nous mettons du style dans chaque pixel et restons toujours attentifs aux nouvelles tendances. 

Si vous appréciez travailler en autonomie dans une équipe jeune et dynamique, que les batailles de nerfs de vous effraient pas et que vous avez une pointe d'humour .... alors nous sommes faits pour travailler ensemble.
",
1667,Société Générale,,,,6,"Société Générale est l’un des 1ers groupes européens de services financiers. S’appuyant sur un modèle diversifié de banque universelle, le Groupe allie solidité financière et stratégie de croissance durable avec l’ambition d’être la banque relationnelle, référence sur ses marchés, proche de ses clients, choisie pour la qualité et l’engagement de ses équipes.",
1776,Impulse Partners,,,,9,"IMPULSE PARTNERS est un cabinet de conseil en stratégie qui accompagne les dirigeants d’entreprises sur les questions de stratégie, d’innovation et de performance. Nous aidons nos clients à maîtriser les leviers de leur croissance, à identifier de nouvelles opportunités, à repenser leur business model et leur stratégie d’innovation.
Notre société développe et anime des accélérateurs de start-up sectoriels dédiés aux industries de la construction, énergie et de l’immobilier (Impulse Labs). Aujourd’hui implanté à Paris et à Londres, Impulse Labs est en croissance rapide en France et à l’international. 
Notre mission ? Imaginer le futur de l’industrie grâce à l’open innovation. Nous identifions, sélectionnons et accompagnons les start-up les plus innovantes du secteur dans leur croissance. 
Les accélérateurs sont au centre d’écosystèmes innovants composés des grands donneurs d’ordre des secteurs de la construction, de l’énergie et de l’immobilier (Vinci, Bouygues Construction, Lafarge, Saint-Gobain, Edf, Total, Sanofi, BNP, etc. – liste complète disponible sur notre site internet). 
",
1870,Doctolib,,,,17,"Fondé en octobre 2013, Doctolib a pour objectif de révolutionner le quotidien des patients et des médecins en Europe. En quelques mois, Doctolib est devenue le leader en France de la recherche et prise de rendez-vous médicaux en ligne avec 1,5 million de patients chaque mois, 40 établissements de santé et 2000 praticiens libéraux affiliés.

Les 5 piliers de Doctolib : LE ""SPAAH""

Service : fournir un service incroyable. 
Passion : prendre toujours du plaisir. 
Ambition : n'avoir aucune limite. 
Attaque : réussir par la porte ou par la fenêtre. 
Humilité : être humble et à l'écoute.",
2047,Night4Us,,,,19,"Winiit est une application mobile qui permet à ses utilisateurs de profiter de cadeaux offerts dans ses restaurants préférés. Il s'agit d'un tout nouvel outil marketing pour les restaurateurs, qui leur permet à la fois de tracter de nouveaux clients mais aussi de fidéliser les plus anciens, par l'offert. Aussi, grâce à une plateforme web dédiée aux restaurateurs, ces derniers peuvent mesurer l'impact de leurs offerts et connaître davantage leur clientèle et leurs attentes.",
2074,L'Oréal ,,,,7,"Première division du groupe L’Oréal, la Division des Produits Grand Public a pour vocation de rendre la beauté accessible au plus grand nombre. Elle représente près de 50% du chiffre d’affaires du groupe grâce à un portefeuille unique de marques internationales : L’Oréal Paris, Garnier, Maybelline, Essie, Softsheen Carson, etc.

Venez développer des produits innovants et recruter avec nous le nouveau milliard de consommateurs !

Nous recherchons des Chefs de Produits (H/F) pour nos Directions Internationales de Marques. ",
2106,Saint-Gobain,"Siège social, 18 Avenue d'Alsace, 92400 Courbevoie, France",48.8908967,2.2490884,15,"Saint-Gobain conçoit, produit et distribue dans le monde entier des matériaux et des solutions pour le bien-être de chacun et l’avenir de tous. Saint-Gobain vitre une voiture sur deux en Europe, isole une maison sur 5 aux Etats-Unis et est une des 100 entreprises les plus innovantes au monde


",
2139,HotelTonight,,,,17,"HotelTonight makes it remarkably easy to book great hotels at amazing last-minute rates on your mobile device, for tonight, tomorrow and next week. Our mission is to make people feel more alive by delivering the unexpected and we're looking for a Market Manager, France to help do just that.

Our product is the world's first 100% mobile hotel booking app, and you'll be working with hotels within a particular region to make sure we are always bringing our users the best deals at the coolest hotels around.

This a great opportunity to run your own market and be accountable for your own work. You will be working as part of our Global Supply team to partner with top rated hotels and rapidly roll out operations for multiple destinations across Paris. You will have the freedom to design, execute and adjust the strategies needed to grow the performance of your market. You are the expert; and what we will achieve, will depend on your work.

Do you want to impact the business from day one and be able to influence the performance of the market and HotelTonight? Join our dynamic and fun team!",80847917400035
2258,SkillsDay,"8 Rue d'Uzès, Paris, France",48.870678,2.3444674,12,"SkillsDay est une société de formation experte en ingénierie pédagogique digitale. 

Guidés par une perpétuelle volonté de rendre la formation toujours plus efficiente, nous avons appris à manier les modalités innovantes.
Dès notre création, nous avons fait le pari du mobile learning, puissant moteur de l’engagement.

Aujourd'hui, nous accompagnons de nombreuses entreprises, tant dans la digitalisation de contenus sur-mesure que dans la distribution de contenus étagère.
Notre quotidien est de concevoir des contenus modernes, ludiques et engageants réfléchis dans une logique micro-learning.

Parce que les nouvelles technologies au service de l'apprentissage nécessitent de réinventer la pédagogie !",
2298,leboncoin,"85-87 Rue Faubourg Saint-Martin, 75010 Paris",48.872933,2.357317,17,"12 ans seulement après sa création, leboncoin.fr est le 1er site de petites annonces en France et s’affirme comme l’un des média de proximité préféré des français. Il est un des sites leader sur le marché de l’automobile, de l’immobilier et de l’emploi. C'est aussi le plus grand vide-grenier de France, un énorme supermarché de l'occasion avec plus de 28 millions d'annonces. Son concept original autour de « la bonne affaire au coin de la rue » et sa simplicité d’utilisation sont plébiscités par des millions d’utilisateurs qui y trouvent un service en phase avec leurs propres attentes.

C’est également une entreprise où il fait bon travailler, puisqu’elle a été primée au Palmarès Best Workplaces France, selon le classement établi par l’institut Great Place To Work, et ce depuis 6 ans désormais !",
2304,Govhe,,,,9,"Government & Healthcare (GovHe), jeune start-up de conseil en santé en croissance cherche à renforcer son équipe jeune et dynamique par des stagiaires de qualité. Nous sommes basés au cœur de Paris et intervenons dans toute la France. Antoine Georges-Picot, ancien patron de l'activité santé chez CapGemini Consulting a fondé et dirige ce jeune cabinet.

Nous intervenons en tant que consultant en stratégie, organisation et management auprès d’acteurs de la santé publique (Hôpitaux, Agences Régionales de Santé, …) et privée (Cliniques, Grands groupes de la Pharmacie, …) ce qui nous permet de proposer une large variété de missions tant en matière de secteur que de contenus. Le secteur de la Santé a un potentiel de transformation de ses organisations et d’amélioration ainsi sans équivalent ce qui permet un périmètre d'intervention très large.",80194283000010
2398,Vanefi conseil,"19 Rue de Sarre, Metz, France",49.115829,6.233286,9,cabinet conseil en recrutement,
2475,Valangels,,,,6,"En 5 ans à peine, TravelCar s’est propulsé au rang de leader de l’autopartage entre voyageurs. 500 000 utilisateurs à son actif, 50 pays dans le monde et 1000 agences !

 L’équipe a démocratisé un concept innovant, révolutionnaire et gagnant-gagnant : le parking gratuit aux aéroports, gares et centre-ville et la location de voiture à des prix défiants toute concurrence.

 Aujourd’hui plus de 500 000 clients nous font confiance...il faut dire que nous les chouchoutons ! Travailler chez TravelCar c’est intégrer une équipe jeune, fun, pleine d’idées, de motivation et aux compétences variées ! Nous grandissons de jour en jour et comptons aujourd’hui une cinquantaine de personnes. Avec plusieurs millions d’euros levés et des acteurs indispensables tels que la MAIF ou PSA à son capital, la société est en plein boom et connaît une forte croissance. Après l’Europe, à nous la conquête des Etats-Unis ! ",
2481,Meotec,"Meotec, Quai Alphonse le Gallo, Boulogne-Billancourt, France",48.83373,2.2272219,9,"Meotec est un cabinet de conseil spécialisé dans les métiers de la  gestion de projets et des fonctions support.
 
Nos quatre offres :
 
 - management des projets et des fonctions support,
 - management des Achats et de la Supply Chain
 - management de la Qualité et des Processus
 - management de la Performance économique",
2491,UNE PIECE EN PLUS,,,,10,"Une Pièce En Plus le numéro 1 du Self-Storage à Paris!
Depuis 1997, Une Pièce en Plus est le numéro 1 du self-stockage à Paris.
En Juillet 2004, Une Pièce en Plus a intégré le groupe Safestore.
Aujourd'hui, l’entreprise fait partie d’un réseau européen comprenant plus de 100 centres de stockage et 3 centres d’affaires en Grande-Bretagne et 25 centres en France.

Rejoignez Une Pièce En Plus et participez à sa croissance : poste évolutif vers des postes managériaux ! De vraies opportunités de carrière ! Rejoignez un groupe européen leader (Paris et Grande Bretagne). Rejoignez une entreprise Jeune et Dynamique. 
",
2708,Ouibus,"Vitry-sur-Seine, France",48.792,2.39851,1,"OUIBUS, le service de voyage en autocar longue distance de SNCF, relie entre elles les grandes villes de France et d’Europe avec ses lignes régulières « nouvelle génération ». Depuis sa création en 2012 sous le nom d’IDBUS, OUIBUS a renouvelé l’image du voyage en autocar grâce à ses bus à haut niveau de confort, son offre de services et à sa sécurité, le tout proposé à prix attractifs, et a déjà transporté plusieurs millions de voyageurs. Demain, grâce à OUIBUS, prendre le bus sera le réflexe malin de ceux qui veulent voyager plus et voyager mieux.

Rejoindre OUIBUS c’est :
•participer à une aventure en pleine expansion.
•travailler dans une ambiance start-up et digitale.
•évoluer dans l’univers essentiel de la mobilité.
•contribuer au développement d’une entreprise innovante.
•être fier de faire voyager des millions de personnes chaque année.
•se trouver (ou confirmer) un talent caché pour le babyfoot ou devenir adepte de yoga.
",
2714,YDATA,,,,17,"Très Haut Débit, 4G et Fibre. ZoneADSL est le spécialiste des offres opérateur en France. 
+ 1M de visiteurs chaque mois.",82421653500016
2756,Osones,,,,16,"Pure Players du Cloud Computing depuis 2013, les Experts certifiés d'Osones vous accompagnent dans vos projets de migration IT. Conception et mise en place d'architectures, migrations vers le Cloud, infogérance, formation, régie : les Experts Osones mettent leurs compétences au service de vos projets.

Nous proposons trois pôles de compétences principaux :  

► Amazon Web Services : Osones compte parmi les rares entreprises ayant le statut ""AWS Advanced Consulting Partner"", garantissant notre expertise.

► Open Cloud OpenStack : nos Cloud Builders sont au services de vos équipes pour monter des Cloud OpenStack, migrer vos applications, et assurer le transfert de compétences.

► DevOps : conteneurs, orchestrateurs, CI/CD. Nos Experts DevOps donnent à vos équipes autonomie, flexibilité et agilité.",
2899,TEXTMASTER,,,,17,"TextMaster est une société à forte croissance qui propose une solution innovante de traduction professionnelle associant intelligence artificielle et réseau de traducteurs experts dans le Cloud. Soutenue par des fonds de capital-risque et des Business Angels de premier plan, TextMaster s’est imposée en quelques années, avec une croissance annuelle de plus de 100% et plus de 10 000 clients dans 100 pays, comme le leader européen sur de la traduction digitale pour les acteurs du e-commerce, du retail du voyage ou du luxe.",803 136 332 00027
2919,RADIALL,,,,15,"Radiall est un fabricant mondial de solutions d'interconnexion à la pointe de la technologie. Avec ses 25 000 références produits, Radiall apporte une forte valeur ajoutée aux marchés de l'aéronautique, des télécoms et de l'industrie. Créée en 1952, l'entreprise française réalise aujourd'hui plus de 85 % de son chiffre d'affaires hors de France. Nos sites de production sont situés en Europe, en Amérique et en Asie, dans lesquels sont répartis ses 3 000 salariés.",
2924,Staffmatch,"122 Boulevard de Courcelles, Paris, France",48.8786496,2.2994573,20,"Créée en avril 2015, STAFFMATCH se lance le pari de révolutionner le marché du travail temporaire (agence intérim) !

Notre vision : Repenser le modèle du travail temporaire pour offrir aux entreprises et collaborateurs une expérience inédite, qui répond aux attentes des nouvelles générations.

Notre mission : Mettre à disposition des technologies performantes au service de l’humain, qu’il soit client ou intérimaire.

Nos secteurs cibles : Hôtellerie, restauration, événementiel, vente, retail, grande distribution, transport, logistique.

Nos implantations : Paris, Lyon, Lille, Nice, Orléans, Le Mans et plus de 10 nouvelles villes à l’horizon 2018.

",
2948,uptoo,,,,20,"UPTOO a créé une offre «disruptive» de recrutement de bons commerciaux qui 'cartonne' en France, combinant des services, du conseil, et les technologies du digital et du big data.

Nous avons multiplié par 4 notre CA et nos effectifs en seulement 4 ans et sommes plus de 85 collaborateurs installés dans des bureaux hyper modernes en plein cœur de Paris, aux Grands Boulevards.
Notre ambition est à la fois de révolutionner le recrutement de commerciaux et à transformer nos collaborateurs en entrepreneurs successful.

Uptoo vient d'intégrer le palmarès international 2016 des « Great Place To Work », les entreprises où il fait bon vivre.
Nous avons envie de devenir une boite fantastique où nos collaborateurs puissent allier fun et dépassement de soi.
",
2964,Devoteam,"73 Rue Anatole France, Levallois-Perret, France",48.8913505,2.2849896,16,"Devoteam Management Consulting est l'entité de conseil en management et en transformation digitale du groupe Devoteam. Depuis 20 ans, nous accompagnons les programmes de transformation métier et technique des grands groupes du CAC 40. La réussite de nos missions nous a ainsi permis de devenir un acteur solide et indépendant dans le conseil en management. 
",
2973,KUDOZ,"85-87 Rue du Faubourg Saint-Martin, 75010 Paris",48.8981631,2.3780941,17,"Fondée en 2014, l’équipe Kudoz s’est imposée une mission : créer le chemin le plus court entre les candidats et les recruteurs. 

Chacun en a déjà fait l’expérience, le recrutement est un processus pénible, chronophage et anxiogène. Notre conviction est que ce n’est pas une fatalité.

L’application mobile Kudoz en atteste. En quelques minutes, le candidat importe son profil LinkedIn et peut postuler aux offres qui lui correspondent, sans CV ni lettre de motivation. Plus il utilisera l’application, plus notre algorithme de recommandation apprendra à le connaître.

En 3 ans, Kudoz a séduit plus de 350,000 utilisateurs et près de 3000 entreprises allant de startups en croissance à des groupes du CAC40 tels que BNP Paribas et Saint-Gobain.

Notre équipe compte aujourd’hui 12 personnes partagées entre profils tech et commerciaux. Après une première levée de fonds en 2015, nous venons de boucler une deuxième opération de financement afin d’accélérer notre croissance et devenir les leaders sur le marché des cadres en France.",
