recruiter_id,industry_id,organization_id
20248,16.0,9176
20259,7.0,8145
20286,,9214
20303,,9231
20336,20.0,8990
20339,,9266
20341,13.0,1189
20344,5.0,9271
20354,19.0,9281
20355,,9282
20384,,9311
20396,,9323
20422,,9349
20429,17.0,9356
20464,19.0,3722
20477,,12262
20504,,12289
20518,,12303
20523,,12308
20527,11.0,6661
20540,,12325
20550,16.0,12335
20554,,12339
20556,19.0,12341
20562,20.0,12347
20565,,12350
20566,,12351
20567,,12352
20571,,12356
20573,,12358
20577,,12362
20580,10.0,9052
20582,,12367
20583,,12368
20584,,12369
20594,,12379
20595,,12380
20597,,12382
20598,,12383
20599,,12384
20603,20.0,12388
20606,16.0,12391
20613,,12398
20622,,12407
20625,,12410
20626,,12411
20627,,12412
20631,,12416
20632,,12417
20633,,12418
20635,,12420
20636,,12421
20637,,12422
20638,,12423
20640,,12425
20642,,12427
20652,,12437
20661,,12446
20663,,12448
20665,,12450
20666,14.0,12451
20667,,12452
20668,,12453
20669,,12454
20677,16.0,12462
20679,,12464
20689,,12474
20690,5.0,12475
20691,,12476
20693,,12478
20694,,12479
20699,,12484
20700,,12485
20701,,12486
20703,,12488
20704,,12489
20705,,12490
20707,,12492
20708,,12493
20710,,12495
20724,,12509
20725,,12510
20726,16.0,12511
20727,,12512
20728,,12513
20730,,12515
20735,,12520
20736,,12521
20741,16.0,12526
20744,20.0,12529
20745,,12530
20746,21.0,12531
20757,,12542
20770,,12555
20773,16.0,12558
20774,,12559
20777,,12562
20780,,12565
20784,,12569
20793,13.0,12578
20795,17.0,12580
20798,15.0,12583
20800,,12585
20805,,12590
20807,,12592
20810,,12595
20812,,12597
20816,,12601
20820,,12605
20821,,12606
20824,,12609
20828,,12613
20829,,12614
20830,,12615
20831,,12616
20833,,12618
20834,19.0,7334
20835,,12620
20836,,12621
20841,13.0,12626
20842,,12627
20844,,12629
20845,,12630
20846,,12631
20847,,12632
20851,,12636
20861,,12646
20863,,12648
20864,,12649
20872,,12657
20875,,12660
20876,,12661
20877,,12662
20880,,12665
20881,,12666
20882,,12667
20883,21.0,12668
20884,,12669
20885,,12670
20893,,12678
20895,,12680
20896,,12681
20899,,12684
20900,,12685
20901,,12686
20913,16.0,12698
20914,19.0,12699
20919,,12704
20923,,12708
20925,,12710
20926,5.0,12711
20930,,12715
20932,,12717
20941,,12726
20942,,12727
20946,6.0,1667
20947,19.0,8314
20951,,12736
20954,,12739
20955,,12740
20956,,12741
20958,,12743
20960,,12745
20961,,12746
20965,,12750
20967,,12752
20970,,12755
20974,,12759
20975,,12760
20976,,12761
20977,,12762
20979,,12764
20981,,12766
20992,,12777
20993,,12778
20994,,12779
20997,,12782
21001,20.0,12786
21005,,12790
21006,,12791
21009,,12794
21010,,12795
21011,,12796
21012,,12797
21014,5.0,12799
21019,9.0,12804
21024,16.0,12809
21034,,12819
21039,8.0,12824
21043,,12828
21048,,12833
21049,,12834
21051,,12836
21056,,12841
21059,16.0,12844
21062,,12847
21069,,12854
21070,20.0,12855
21071,,12856
21077,,12862
21083,,12868
21084,,12869
21085,,12870
21086,20.0,12871
21087,,12872
21089,12.0,12874
21090,,12875
21091,,12876
21093,16.0,12878
21094,,12879
21095,,12880
21097,11.0,12882
21099,,12884
21106,,12891
21108,,12893
21110,,12895
21112,,12897
21114,,12899
21116,,12901
21118,10.0,12903
21120,19.0,12905
21122,,12907
21131,,12916
21132,12.0,12917
21133,,12918
21134,,12919
21137,,12922
21139,,12924
21142,,12927
21144,,12929
21145,,12930
21146,,12931
21147,,12932
21148,17.0,12933
21152,17.0,12937
21156,,12941
21157,,12942
21159,,12944
21161,13.0,12946
21163,,12948
21170,,12955
21171,11.0,12956
21172,,12957
21173,,12958
21176,,12961
21178,,12963
21182,20.0,12967
21186,,12971
21195,7.0,9052
21196,,12981
21199,,12984
21202,,12987
21206,,12991
21207,,12992
21208,22.0,12993
21213,,12998
21216,24.0,13001
21221,,13006
21222,,13007
21223,,13008
21229,,13014
21236,,13021
21237,1.0,13022
21239,,13024
21241,20.0,13031
21242,20.0,13031
21243,20.0,13031
21244,20.0,13031
21245,20.0,13031
21246,20.0,13031
21248,,13033
21250,,13035
21251,16.0,13036
21255,,13040
21258,9.0,13043
21259,,13044
21260,,13045
21263,,13048
21264,,13049
21265,,13050
21266,13.0,13051
21267,,13052
21271,,13056
21276,,13061
21279,,13064
21282,,13067
21286,,13071
21287,,13072
21288,,13073
21292,6.0,13077
21295,,13080
21296,,13081
21298,,13083
21304,,13089
21305,,13090
21306,,13091
21307,,13092
21310,,13095
21312,,13097
21313,,13098
21315,,13100
21317,15.0,13102
21318,,13103
21319,,13104
21320,,13105
21323,,13108
21328,,13113
21329,5.0,6220
21332,,13117
21334,,13119
21339,,13124
21341,,13126
21343,,13128
21357,,13142
21365,,13150
21366,,13151
21371,17.0,13156
21372,,13157
21373,,13158
21374,,13159
21376,5.0,13161
21377,,13162
21380,,13165
21382,,13167
21386,,13171
21387,,13172
21388,,13173
21389,,13174
21390,,13175
21397,,13182
21398,,13183
21401,,13186
21403,10.0,13188
21408,,13193
21409,,13194
21411,,13196
21414,,13199
21420,,13205
21422,,13207
21425,,13210
21427,,13212
21428,,13213
21429,,13214
21431,13.0,13216
21432,,13217
21441,,13226
21447,5.0,13232
21448,,13233
21449,,13234
21454,,13239
21460,,13245
21461,,13246
21464,,13249
21465,,13250
21466,,13251
21468,,13253
21469,,13254
21470,,13255
21471,,13256
21472,,13257
21474,,13259
21485,,13270
21487,,13272
21489,,13274
21491,,13276
21492,,13277
21493,,13278
21494,,13279
21498,,13283
21499,,13284
21501,20.0,13286
21504,,13289
21505,,13290
21507,,13292
21508,,13293
21509,,13294
21510,,13295
21513,,13298
21515,,13300
21516,,13301
21517,,13302
21522,,13307
21525,,13310
21528,,13313
21530,21.0,13315
21531,,13316
21534,9.0,13319
21535,,13320
21536,,13321
21537,,13322
21538,16.0,13323
21540,,13325
21541,19.0,13326
21548,,13333
21550,,13335
21552,,13337
21554,,13339
21555,,13340
21556,1.0,13341
21557,,13342
21559,,13344
21568,12.0,13353
21573,,13358
21575,,13360
21583,,13368
21586,,13371
21587,,13372
21590,,13375
21593,,13378
21596,15.0,13381
21602,,13387
21605,,13390
21607,,13392
21608,,13393
21611,,13396
21614,,13399
21615,,13400
21617,,13402
21619,,13404
21620,15.0,13405
21621,,13406
21622,,13407
21623,,13408
21625,,13410
21626,,13411
21632,,13417
21633,,13418
21637,,13422
21645,19.0,13430
21648,,13433
21650,,13435
21652,,13437
21655,,13440
21657,9.0,13442
21659,,13444
21660,,13445
21661,,13446
21662,,13447
21665,,13450
21666,,13451
21671,,13456
21676,,13461
21679,,13464
21681,,13466
21682,,13467
21686,,13471
21687,,13472
21688,,13473
21691,,13476
21692,,13477
21693,,13478
21694,,13479
21696,,13481
21701,,13486
21704,,13489
21706,,13491
21707,6.0,13492
21713,,13498
21721,,13506
21724,,13509
21726,,13511
21729,,13514
21731,,13516
21732,,13517
21742,,13527
21748,,13533
21750,,13535
21751,,13536
21755,,13540
21756,,13541
21758,,13543
21763,,13548
21767,,13552
21769,,13554
21777,,13562
21779,,13564
21780,,13565
21784,,13569
21785,,13570
21789,,13574
21793,16.0,13578
21794,,13579
21795,,13580
21800,,13585
21802,,13587
21805,16.0,13590
21806,,13591
21809,,13594
21812,,13597
21814,,13599
21816,,13601
21825,,13610
21832,,13617
21834,,13619
21836,,13621
21837,,13622
21840,20.0,13625
21841,17.0,13626
21846,,13631
21850,,13635
21852,,13637
21853,,13638
21855,,13640
21856,,13641
21863,,13648
21864,,13649
21866,,13651
21871,,13656
21872,,13657
21873,,13658
21874,,13659
21875,,13660
21879,,13664
21880,,13665
21882,,13667
21883,,13668
21885,,13670
21886,7.0,13671
21887,,13672
21890,,13675
21891,,13676
21893,16.0,13678
21895,,13680
21896,16.0,13681
21897,,13682
21900,,13685
21903,,13688
21904,,13689
21906,,13691
21908,,13693
21909,,13694
21911,8.0,13696
21913,,13698
21915,,13700
21922,,13707
21924,,13709
21926,20.0,13711
21931,,13716
21933,,13718
21940,,13725
21943,,13728
21944,,13729
21946,,13731
21948,,13733
21950,,13735
21951,,13736
21954,,13739
21961,17.0,13746
21963,16.0,13748
21968,,13753
21971,,13756
21973,,13758
21975,,13760
21977,,13762
21980,,13765
21981,,13766
21982,,13767
21983,2.0,13768
21987,,13772
21988,,13773
21991,,13776
21993,,13778
21995,,13780
21996,,13781
21998,,13783
21999,,13784
22000,,13785
22003,,13788
22004,,13789
22006,4.0,13791
22011,,13796
22014,,13799
22016,,13801
22018,,13803
22019,,13804
22020,,13805
22021,,13806
22023,,13808
22027,,13812
22028,,13813
22032,,13817
22033,,13818
22034,,13819
22035,,13820
22037,,13822
22042,,13827
22043,,13828
22044,,13829
22047,,13832
22048,,13833
22049,,13834
22051,,13836
22058,,13843
22060,,13845
22061,,13846
22064,,13849
22065,,13850
22069,,13854
22070,,13855
22073,,13858
22074,,13859
22075,,13860
22076,,13861
22079,,13864
22098,,13883
22099,,13884
22100,,13885
22105,1.0,13890
22108,,13893
22109,,13894
22114,,13899
22118,,13903
22119,,13904
22121,,13906
22122,,13907
22123,,13908
22125,,13910
22127,,13912
22128,,13913
22129,,13914
22131,,13916
22170,,13955
22171,,13956
22172,,13957
22173,,13958
22174,5.0,13959
22179,,13964
22180,,13965
22183,13.0,13968
22184,16.0,13969
22187,,13972
22192,,13977
22194,,13979
22195,,13980
22197,,13982
22206,,13991
22208,,13993
22209,,13994
22211,,13996
22219,15.0,2106
22220,,14005
22223,,14008
22225,,14010
22229,,14014
22236,,14021
22238,,14023
22241,,14026
22243,16.0,14028
22246,,14031
22247,,14032
22257,,14042
22261,,14046
22266,,14051
22270,,14055
22272,,14057
22273,14.0,14058
22275,,14060
22280,,14065
22281,,14066
22284,,14069
22285,,14070
22286,,14071
22287,,14072
22290,13.0,14075
22291,,14076
22292,,14077
22295,,14080
22296,,14081
22299,,14084
22300,,14085
22301,14.0,14086
22308,,14093
22309,,14094
22312,,14097
22316,,14101
22319,5.0,14104
22321,,14106
22323,12.0,14108
22324,,14109
22327,,14112
22328,,14113
22329,,14114
22331,,14116
22333,,14118
22335,,14120
22338,,14123
22339,,14124
22341,16.0,13995
22342,16.0,13995
22347,,14132
22348,,14133
22354,,14139
22355,,14140
22356,10.0,14141
22364,,14149
22365,,14150
22377,,14162
22378,,14163
22383,,14168
22384,,14169
22389,,14174
22390,,14175
22392,,14177
22393,,14178
22395,,14180
22396,,14181
22401,,14186
22404,,14189
22405,,14190
22406,,14191
22409,,14194
22411,,14196
22418,,14203
22419,,14204
22423,,14208
22425,,14210
22426,,14211
